date,secID,factor
2014-01-30,002070.SZ,3697202467.92
2014-01-30,002071.SZ,5704620000.0
2014-01-30,002072.SZ,1107040000.0
2014-01-30,002073.SZ,6614472150.0
2014-01-30,002074.SZ,1515140640.0
2014-01-30,002075.SZ,4886423211.2
2014-01-30,002076.SZ,1546030971.64
2014-01-30,002077.SZ,1509480000.0
2014-01-30,002078.SZ,6934500000.0
2014-01-30,002079.SZ,4680856661.41
2014-01-30,002080.SZ,4328000000.0
2014-01-30,002081.SZ,22438753764.2
2014-01-30,002082.SZ,1758820000.0
2014-01-30,002083.SZ,3777280020.8
2014-01-30,002084.SZ,1985612925.57
2014-01-30,002085.SZ,7482098206.24
2014-01-30,002086.SZ,2097110000.0
2014-01-30,002087.SZ,1975081920.0
2014-01-30,002088.SZ,2066031823.87
2014-01-30,002089.SZ,4620394886.4
2014-01-30,002090.SZ,2676480000.0
2014-01-30,002091.SZ,5025600000.0
2014-01-30,002092.SZ,7076316907.02
2014-01-30,002093.SZ,4463400000.0
2014-01-30,002094.SZ,2781359596.8
2014-01-30,002095.SZ,5491800000.0
2014-01-30,002096.SZ,4206681710.0
2014-01-30,002097.SZ,3501439500.0
2014-01-30,002098.SZ,1393450000.0
2014-01-30,002099.SZ,2170838100.0
2014-01-30,002100.SZ,5314106698.56
2014-01-30,002101.SZ,2074194000.0
2014-01-30,002102.SZ,1984911000.0
2014-01-30,002103.SZ,1439460290.0
2014-01-30,002104.SZ,8037273600.0
2014-01-30,002105.SZ,1364120000.0
2014-01-30,002106.SZ,10135520057.6
2014-01-30,002107.SZ,2023513200.0
2014-01-30,002108.SZ,3238273696.0
2014-01-30,002109.SZ,1720320000.0
2014-01-30,002110.SZ,2213658000.0
2014-01-30,002111.SZ,3567413233.35
2014-01-30,002112.SZ,1372896000.0
2014-01-30,002113.SZ,1110592000.0
2014-01-30,002114.SZ,2049679835.58
2014-01-30,002115.SZ,2862495360.0
2014-01-30,002116.SZ,2956932000.0
2014-01-30,002117.SZ,7105850681.16
2014-01-30,002118.SZ,4847768559.9
2014-01-30,002119.SZ,1616608000.0
2014-01-30,002120.SZ,1495286000.0
2014-01-30,002121.SZ,3715786800.0
2014-01-30,002122.SZ,4894560000.0
2014-01-30,002123.SZ,3996720000.0
2014-01-30,002124.SZ,1859775000.0
2014-01-30,002125.SZ,1189566766.8
2014-01-30,002126.SZ,4144427100.0
2014-01-30,002127.SZ,2968951698.3
2014-01-30,002128.SZ,9074533375.44
2014-01-30,002129.SZ,16161897851.6
2014-01-30,002130.SZ,3954791242.71
2014-01-30,002131.SZ,6253546660.2
2014-01-30,002132.SZ,2089296126.0
2014-01-30,002133.SZ,2231733600.0
2014-01-30,002134.SZ,1548853538.4
2014-01-30,002135.SZ,2642558000.0
2014-01-30,002136.SZ,1335274200.0
2014-01-30,002137.SZ,1806137764.0
2014-01-30,002138.SZ,6069522753.5
2014-01-30,002139.SZ,2325960000.0
2014-01-30,002140.SZ,7292664630.9
2014-01-30,002141.SZ,1464198400.0
2014-01-30,002142.SZ,25464135271.1
2014-01-30,002143.SZ,1395868500.0
2014-01-30,002144.SZ,3386770036.48
2014-01-30,002145.SZ,2985614923.2
2014-01-30,002146.SZ,18719326880.1
2014-01-30,002147.SZ,1377921247.3
2014-01-30,002148.SZ,6796731650.94
2014-01-30,002149.SZ,2224786200.0
2014-01-30,002150.SZ,1756404000.0
2014-01-30,002151.SZ,7319822515.2
2014-01-30,002152.SZ,15497701726.4
2014-01-30,002153.SZ,19783680000.0
2014-01-30,002154.SZ,3234771722.4
2014-01-30,002155.SZ,7760927720.0
2014-01-30,002156.SZ,4178643009.6
2014-01-30,002157.SZ,2853594480.16
2014-01-30,002158.SZ,4560155869.5
2014-01-30,002159.SZ,1965600000.0
2014-01-30,002160.SZ,1604800000.0
2014-01-30,002161.SZ,5829288312.0
2014-01-30,002162.SZ,2487100000.0
2014-01-30,002163.SZ,2675821500.0
2014-01-30,002164.SZ,1662181250.0
2014-01-30,002165.SZ,2980201486.24
2014-01-30,002166.SZ,2493524880.0
2014-01-30,002167.SZ,4715049960.0
2014-01-30,002168.SZ,5337588614.4
2014-01-30,002169.SZ,1894618586.25
2014-01-30,002170.SZ,5202991029.6
2014-01-30,002171.SZ,2288800800.0
2014-01-30,002172.SZ,2681991430.98
2014-01-30,002173.SZ,1713800000.0
2014-01-30,002174.SZ,6517418992.18
2014-01-30,002175.SZ,1611480579.84
2014-01-30,002176.SZ,4651726978.24
2014-01-30,002177.SZ,4673714545.16
2014-01-30,002178.SZ,3483156428.71
2014-01-30,002179.SZ,7767807278.88
2014-01-30,002180.SZ,1162341900.0
2014-01-30,002181.SZ,13258770582.4
2014-01-30,002182.SZ,2148480000.0
2014-01-30,002183.SZ,7741090991.85
2014-01-30,002184.SZ,1960200000.0
2014-01-30,002185.SZ,7888669120.0
2014-01-30,002186.SZ,5118809600.0
2014-01-30,002187.SZ,2783895477.84
2014-01-30,002188.SZ,1443000000.0
2014-01-30,002189.SZ,1524186000.0
2014-01-30,002190.SZ,5229603987.3
2014-01-30,002191.SZ,10978200000.0
2014-01-30,002192.SZ,1894239241.77
2014-01-30,002193.SZ,1224000000.0
2014-01-30,002194.SZ,5075184400.0
2014-01-30,002195.SZ,3837353800.0
2014-01-30,002196.SZ,1943738522.46
2014-01-30,002197.SZ,3766428222.9
